participant,video,frame_rate
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Fear_7_1779,14.516129032258066
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Joy_1_1032,14.5
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Joy_6_1953,14.5
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Joy_7_0593,14.5
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Sadness_13_0673,14.5
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Sadness_2_1259,14.375
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Sadness_8_0226,14.5
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Surprise_3_1433,14.473684210526317
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Surprise_5_0468,14.5
293c2496-0b93-4ddc-b494-70f7e8d0fb55,Surprise_7_1002,14.494163424124512
2bbf5c31-7959-4a58-83be-5ec75281d11b,Anger_15_1260,25.09433962264151
2bbf5c31-7959-4a58-83be-5ec75281d11b,Anger_5_0733,25.5
2bbf5c31-7959-4a58-83be-5ec75281d11b,Anger_8_0971,25.375
2bbf5c31-7959-4a58-83be-5ec75281d11b,Disgust_10_1907,25.41322314049587
2bbf5c31-7959-4a58-83be-5ec75281d11b,Disgust_3_0876,25.25
2bbf5c31-7959-4a58-83be-5ec75281d11b,Disgust_4_0929,25.454545454545453
2bbf5c31-7959-4a58-83be-5ec75281d11b,Fear_1_1422,25.110375275938193
2bbf5c31-7959-4a58-83be-5ec75281d11b,Fear_3_0025,25.25
2bbf5c31-7959-4a58-83be-5ec75281d11b,Fear_5_0137,25.25
2bbf5c31-7959-4a58-83be-5ec75281d11b,Joy_2_1034,25.25
2bbf5c31-7959-4a58-83be-5ec75281d11b,Joy_5_0380,25.5
2bbf5c31-7959-4a58-83be-5ec75281d11b,Joy_8_1712,25.375
2bbf5c31-7959-4a58-83be-5ec75281d11b,Sadness_15_1485,25.5
2bbf5c31-7959-4a58-83be-5ec75281d11b,Sadness_3_0975,25.547445255474457
2bbf5c31-7959-4a58-83be-5ec75281d11b,Sadness_8_0226,25.375
2bbf5c31-7959-4a58-83be-5ec75281d11b,Surprise_0_0509,25.12345679012346
2bbf5c31-7959-4a58-83be-5ec75281d11b,Surprise_4_1436,25.125
2bbf5c31-7959-4a58-83be-5ec75281d11b,Surprise_7_1002,25.291828793774318
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Anger_1_0218,19.375
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Anger_2_0681,19.5
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Anger_5_0733,19.25
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Disgust_10_1907,19.586776859504134
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Disgust_11_1940,19.794520547945204
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Disgust_3_0876,19.5
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Fear_2_0395,19.625
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Fear_4_1964,19.78021978021978
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Fear_6_0687,19.575471698113205
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Joy_1_1032,19.375
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Joy_2_1034,19.5
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Joy_5_0380,19.125
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Sadness_12_1587,19.71014492753623
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Sadness_13_0673,19.5
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Sadness_6_0059,19.5
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Surprise_10_1234,19.912472647702405
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Surprise_4_1436,19.375
38c8fcff-72ef-4c1c-859a-f1c316cf87b7,Surprise_9_1899,19.715447154471544
599a5dac-f796-4c05-b742-60b8216e51e7,Anger_13_1026,28.780487804878053
599a5dac-f796-4c05-b742-60b8216e51e7,Anger_7_0414,29.271523178807946
599a5dac-f796-4c05-b742-60b8216e51e7,Anger_8_0971,28.625
599a5dac-f796-4c05-b742-60b8216e51e7,Disgust_10_1907,29.00826446280992
599a5dac-f796-4c05-b742-60b8216e51e7,Disgust_1_0235,27.875
599a5dac-f796-4c05-b742-60b8216e51e7,Disgust_3_0876,28.75
599a5dac-f796-4c05-b742-60b8216e51e7,Fear_0_1375,28.625
599a5dac-f796-4c05-b742-60b8216e51e7,Fear_3_0025,28.5
599a5dac-f796-4c05-b742-60b8216e51e7,Fear_7_1779,28.548387096774196
599a5dac-f796-4c05-b742-60b8216e51e7,Joy_1_1032,28.625
599a5dac-f796-4c05-b742-60b8216e51e7,Joy_3_2034,28.75
599a5dac-f796-4c05-b742-60b8216e51e7,Joy_9_1363,28.875
